epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,110.469,1.01693,0.68921,1.16932,0.96745,0.97436,0.99333,0.79365,1.0326,0.51807,1.20134,0.000743769,0.000743769,0.000743769
178,111.116,1.0335,0.76395,1.23519,0.97095,0.97436,0.99333,0.77878,1.02833,0.50628,1.19778,0.000733799,0.000733799,0.000733799
179,111.704,1.01169,0.67408,1.19905,0.97095,0.97436,0.99333,0.77878,1.02833,0.50628,1.19778,0.000723859,0.000723859,0.000723859
180,112.313,1.01575,0.71891,1.20722,0.97495,0.97436,0.99333,0.76127,1.03066,0.49373,1.20383,0.00071395,0.00071395,0.00071395
181,113.054,0.97404,0.69661,1.22207,0.97753,0.97436,0.99333,0.74895,1.05955,0.48225,1.23831,0.000704073,0.000704073,0.000704073
182,113.643,0.97931,0.66752,1.17452,0.97437,0.97436,0.99333,0.74612,1.09141,0.47022,1.26002,0.00069423,0.00069423,0.00069423
183,114.223,0.93074,0.69459,1.16695,0.97437,0.97436,0.99333,0.74612,1.09141,0.47022,1.26002,0.000684422,0.000684422,0.000684422
184,114.799,1.0369,0.74402,1.20846,0.97087,0.992,0.995,0.73843,1.1055,0.46811,1.26567,0.000674649,0.000674649,0.000674649
185,115.417,1.04082,0.71506,1.19318,0.97845,0.99236,0.995,0.74229,1.12063,0.48181,1.27379,0.000664914,0.000664914,0.000664914
186,115.998,1.00675,0.73121,1.19649,0.98145,0.9953,0.995,0.73866,1.13068,0.48209,1.27724,0.000655216,0.000655216,0.000655216
187,116.563,0.99345,0.68753,1.15373,0.98145,0.9953,0.995,0.73866,1.13068,0.48209,1.27724,0.000645557,0.000645557,0.000645557
188,117.164,0.99367,0.69225,1.17517,0.98313,0.99545,0.995,0.73119,1.13297,0.47118,1.27753,0.000635938,0.000635938,0.000635938
189,117.785,1.02119,0.63832,1.16601,0.98441,0.9977,0.995,0.74241,1.13343,0.46986,1.27825,0.00062636,0.00062636,0.00062636
190,118.496,0.97817,0.70167,1.18031,0.98458,0.99807,0.995,0.73175,1.12147,0.48071,1.26858,0.000616824,0.000616824,0.000616824
191,119.045,0.99706,0.72041,1.23508,0.98458,0.99807,0.995,0.73175,1.12147,0.48071,1.26858,0.000607331,0.000607331,0.000607331
192,119.662,1.00214,0.71247,1.17561,0.98382,0.99783,0.995,0.75517,1.11359,0.49233,1.26431,0.000597882,0.000597882,0.000597882
193,120.24,1.05053,0.74749,1.24186,0.98359,0.99347,0.995,0.76231,1.10999,0.49139,1.26637,0.000588479,0.000588479,0.000588479
194,120.828,0.93585,0.65423,1.13829,0.96189,0.97436,0.99333,0.74754,1.13245,0.50634,1.28306,0.000579121,0.000579121,0.000579121
195,121.402,0.98836,0.70402,1.17931,0.96189,0.97436,0.99333,0.74754,1.13245,0.50634,1.28306,0.000569811,0.000569811,0.000569811
196,122.047,0.92539,0.6399,1.13769,0.94978,1,0.99333,0.74218,1.13782,0.50587,1.28623,0.000560549,0.000560549,0.000560549
197,122.659,0.9966,0.6666,1.162,0.94885,1,0.99333,0.74587,1.11662,0.4899,1.26508,0.000551337,0.000551337,0.000551337
198,123.37,0.93409,0.63385,1.14684,0.9485,1,0.99333,0.73417,1.07812,0.4917,1.22885,0.000542175,0.000542175,0.000542175
199,123.944,0.96908,0.68852,1.1677,0.9485,1,0.99333,0.73417,1.07812,0.4917,1.22885,0.000533064,0.000533064,0.000533064
200,124.591,0.86962,0.64144,1.15337,0.9479,0.99873,0.99333,0.75944,1.02261,0.46923,1.1904,0.000524005,0.000524005,0.000524005
201,125.178,0.9804,0.74074,1.17265,0.94792,0.99625,0.99333,0.77283,0.97364,0.45433,1.16609,0.000515,0.000515,0.000515
202,125.796,0.9846,0.72654,1.20417,0.94713,0.99523,0.99333,0.77253,0.95436,0.44955,1.15614,0.000506049,0.000506049,0.000506049
203,126.38,0.89482,0.60497,1.14624,0.94713,0.99523,0.99333,0.77253,0.95436,0.44955,1.15614,0.000497153,0.000497153,0.000497153
204,126.997,0.92075,0.65813,1.11822,0.94774,0.99516,0.99333,0.76809,0.96766,0.45125,1.16535,0.000488314,0.000488314,0.000488314
205,127.573,0.98336,0.67298,1.19916,0.95936,0.97605,0.99333,0.77187,1.00141,0.45686,1.18742,0.000479531,0.000479531,0.000479531
206,128.248,0.95103,0.66366,1.18984,0.95935,0.97436,0.99189,0.76254,1.02616,0.46063,1.20441,0.000470807,0.000470807,0.000470807
207,128.911,0.91596,0.66515,1.13067,0.95935,0.97436,0.99189,0.76254,1.02616,0.46063,1.20441,0.000462142,0.000462142,0.000462142
208,129.52,0.9451,0.64058,1.12294,0.96018,0.97436,0.98984,0.7553,1.0612,0.46688,1.22706,0.000453537,0.000453537,0.000453537
209,130.12,0.92195,0.64663,1.16965,0.96179,0.96249,0.98984,0.75878,1.08167,0.46505,1.24377,0.000444994,0.000444994,0.000444994
210,130.763,0.93844,0.66499,1.13465,0.96298,0.96238,0.98984,0.76307,1.07022,0.46095,1.23709,0.000436512,0.000436512,0.000436512
211,131.29,0.94208,0.68325,1.23224,0.96298,0.96238,0.98984,0.76307,1.07022,0.46095,1.23709,0.000428093,0.000428093,0.000428093
212,131.896,1.01147,0.70479,1.20938,0.96176,0.96846,0.98984,0.76259,1.05564,0.468,1.2285,0.000419737,0.000419737,0.000419737
213,132.471,0.92757,0.62505,1.13131,0.96023,0.97436,0.98779,0.76097,1.04156,0.46889,1.21979,0.000411447,0.000411447,0.000411447
214,133.096,0.88372,0.59235,1.10718,0.95856,0.97436,0.98599,0.75398,1.041,0.46763,1.2266,0.000403222,0.000403222,0.000403222
215,133.66,0.95445,0.68778,1.17552,0.95856,0.97436,0.98599,0.75398,1.041,0.46763,1.2266,0.000395064,0.000395064,0.000395064
216,134.373,0.93647,0.65191,1.16556,0.96038,0.9724,0.98599,0.75362,1.04471,0.46824,1.23434,0.000386973,0.000386973,0.000386973
217,134.975,1.02192,0.73756,1.23288,0.96102,0.97287,0.98599,0.74969,1.05391,0.46843,1.245,0.00037895,0.00037895,0.00037895
218,135.573,0.87143,0.58923,1.11417,0.95853,0.98455,0.98786,0.74311,1.05909,0.47183,1.25019,0.000370997,0.000370997,0.000370997
219,136.12,0.91013,0.62566,1.12279,0.95853,0.98455,0.98786,0.74311,1.05909,0.47183,1.25019,0.000363114,0.000363114,0.000363114
220,136.749,0.88094,0.60475,1.09712,0.96191,0.97385,0.98599,0.74066,1.06542,0.47796,1.25508,0.000355301,0.000355301,0.000355301
221,137.36,0.91982,0.66971,1.15049,0.96186,0.97054,0.98599,0.73352,1.08022,0.47935,1.26447,0.000347561,0.000347561,0.000347561
222,137.973,0.97676,0.71546,1.18864,0.96146,0.9661,0.98599,0.71279,1.08412,0.47978,1.26679,0.000339893,0.000339893,0.000339893
223,138.562,0.9006,0.63583,1.14043,0.96146,0.9661,0.98599,0.71279,1.08412,0.47978,1.26679,0.000332298,0.000332298,0.000332298
224,139.173,0.93505,0.65176,1.14736,0.96104,0.96242,0.98599,0.70769,1.11268,0.49077,1.28921,0.000324778,0.000324778,0.000324778
225,139.788,0.92181,0.62616,1.15573,0.96021,0.96771,0.98599,0.70482,1.1463,0.49988,1.31242,0.000317333,0.000317333,0.000317333
226,140.502,0.83151,0.57851,1.09755,0.95956,0.96969,0.98599,0.70406,1.16347,0.50304,1.32299,0.000309964,0.000309964,0.000309964
227,141.09,0.92263,0.64793,1.15317,0.95956,0.96969,0.98599,0.70406,1.16347,0.50304,1.32299,0.000302672,0.000302672,0.000302672
